Restaurant,cleaned_text
Antipodean Cafe,loved service ambience place nice hearty breakfast morning quiet mallrecommended come
Antipodean Cafe,food taste great however service need improvement
Antipodean Cafe,first service excellent many server welcomed u way lead quickly table menu lot variety detract quality ordered big breakfast first service excellent many server welcomed u way lead quickly table menu lot variety detract quality ordered big breakfast delivered quickly table first thing tried mushroom plump juicy bursting flavour claimed hashbrown homemade quality confirmed slight hint acidity found frozen hashbrowns scrambled egg exactly would expect could practically slurp like noodle salad paired well hashbrown lacked acidity would made dish somewhat unpleasant bacon lovely salty wonderful texture chewy crispy fat kept minimum finally artisan bread highlight right texture subtle flavour finish highly recommend place anyone driving bangsar search good plave eat
Antipodean Cafe,enjoyed scrambled egg salmon toast bread great good service except fact sweeping floor whilst customer still eating nonetheless quality food
Antipodean Cafe,best antipodean branch kl food cooked well good packed every weekend
Antipodean Cafe,rahmat team great accommodating wonderful brunch definitely come
Antipodean Cafe,child friendly good food good young family
Antipodean Cafe,nice place chill coffee nice guy come xoxo
Antipodean Cafe,service topnotch ordered waffle dessert super soft delicious definitely come back next time
Antipodean Cafe,service bad food mind use long tray serve dish little dumb lunch witnessed two accident due long tray need worked think smart unic selling point
Antipodean Cafe,enjoyed food ambience
Antipodean Cafe,good experience dining waiter atique helpful helping u picking right menu
Antipodean Cafe,excellent food drink service ambience great hospitality john must visit
Antipodean Cafe,service tip top definitely visit
Antipodean Cafe,stopped something drink tried food average flavour drink especially coffee chocolate chip cookie bit dry crumbly friendly staff average price
Antipodean Cafe,fast efficient service friendly staff good food recommended
Antipodean Cafe,love coffee staff friendliness make good soymilk flat white else bother offer taste consistently superb every cuppa think trip past mths love coffee staff friendliness make good soymilk flat white else bother offer taste consistently superb every cuppa think trip past mths hope offer gluten free dairy free cake slice soon
Antipodean Cafe,staff aint tat great used service lousy rigid menu n flexibility change anything chosen meal customized dish definitely recommend place used regular n frustrating
Antipodean Cafe,wanted try brunch co seems popular finally last weekend thai beef salad istanbul pizza food okay ambiance also great lot noise coming kitchen wanted try brunch co seems popular finally last weekend thai beef salad istanbul pizza food okay ambiance also great lot noise coming kitchen really appreciate manager treat staff even busy hour also kudos one server kept sanitizing hand every task
Antipodean Cafe,food sooo good service also really nice big range dish lot different coffee juice best thing serve breakfast whole day
Antipodean Cafe,ramak deserves excellent star energetic service rounder food excellent love environment got delicious free orange sponge cake birthday today overall superb service worth value
Antipodean Cafe,good service ambience staff courteous helpful request food fantastic highly recommended
Antipodean Cafe,restaurant delicious eat type food drink service kind want come
Antipodean Cafe,best breakfast ever
Antipodean Cafe,service good friendly love coffee much
Antipodean Cafe,super great experience dine great welcome super friendly staff great food highly recommended
Antipodean Cafe,good service lady manager pretty sweet friendly variety breakfast like
Antipodean Cafe,thanks elia attentiveness grateful serve u evening
Antipodean Cafe,best breakfast town usually go mid valley branch taste bangsar branch love big breakfast coffee
Antipodean Cafe,pancake butterscotch really good
Antipodean Cafe,always favorite place breakfast food great fresh tasty staff attentive friendly helpful cozy place sumptuous day breakfast cup aromatic coffee yes great book
Antipodean Cafe,ordered lamb burger waiter mr sagor asked full due small portion burger said full willing give complimentary toast anything wanted beside ordered lamb burger waiter mr sagor asked full due small portion burger said full willing give complimentary toast anything wanted beside attentive hardworking never stumbled across outstanding service sagor hope employer would reward customer service staff like like diamond
Antipodean Cafe,nice experience staff friendly food nice recommended
Antipodean Cafe,great service yummy food ambiance price affordable environment clean bright
Antipodean Cafe,nice food good service
Antipodean Cafe,service good food prompt staff friendly willing explain menu food good ambience
Antipodean Cafe,coffee still ok must say quality food dropped friend ordered waffle must say dint quite taste like waffle like dense cake unfortunately sentiment coffee still ok must say quality food dropped friend ordered waffle must say dint quite taste like waffle like dense cake unfortunately sentiment branch even one garden price cheap either oh definitely give waffle miss
Antipodean Cafe,coffee good unfortunately kitchen non halal
Antipodean Cafe,good ambience good service friendly staff ordered big breakfast mushroom came cold requested egg omelette came sunny side fried
Antipodean Cafe,always weekend breakfast spot lovely vibe friendly professional staff
Antipodean Cafe,good food good environment good stuff service great breakfast antipodean please keep
Antipodean Cafe,always enjoy dining experience friendly welcoming staff great food coffee definitely keep coming back
Antipodean Cafe,love food friendly staff important place pet friendly could bring dog enjoy delicious brunch
Antipodean Cafe,food amazing attentive friendly staff definitely returning
Antipodean Cafe,first visited place best place one best waffle kl also staff friendly clean hope get spot klia think still spot left cafe thank antipodean cafe
Antipodean Cafe,staff great super attentive polite quick respond call made sure everything alright side food awesome
Antipodean Cafe,disappointed salmon cream cheese lemon waffle literally presented waffle slice smoked salmon slice cream cheese wedge lemon sauce whatsoever waffle dense dry overall appetizing worth rm tax service charge
Antipodean Cafe,food great thai beef salad need veggie bf hungry meal liked idea menu wall nice liked food delicious
Antipodean Cafe,many time service always point food good fresh delicious definitely revisit place many time service always point food good fresh delicious definitely revisit place lovely staff
Antipodean Cafe,friendly staff nice food
Antipodean Cafe,wonderful food service always egg marlborough salmon smoked salmon omelette simply scrumptious forget vegetarian big breakfast delicious brilliant thing antipodean menu wonderful food service always egg marlborough salmon smoked salmon omelette simply scrumptious forget vegetarian big breakfast delicious brilliant thing antipodean menu flexibility accommodate vegetarian vegan non veg customer thank waiter mr sagor excellent brunch experience super cheerful attentive adaptive request well need made family brunch date even delightful wait next visit
Antipodean Cafe,usual suspect good american breakfast brunch place good black coffee
Antipodean Cafe,choice decor interesting writing entire menu one wall feed two bird one scone peta fanbois lower cost decorating printing updating menu choice decor interesting writing entire menu one wall feed two bird one scone peta fanbois lower cost decorating printing updating menu also first encounter paper straw eat antipodean save environment fill daily quota environmentalism
Antipodean Cafe,really nice service
Antipodean Cafe,overall great experience dining relaxing cafe enjoyed avocado smash much refreshing ice lemon tea worker also friendly provide good service time big overall great experience dining relaxing cafe enjoyed avocado smash much refreshing ice lemon tea worker also friendly provide good service time big breakfast must try must say batista good job designing pattern top coffee definitely come back
Antipodean Cafe,food service environment amazing large menu friendly staff amazing coffee unfortunately food brought table insect immediately replaced still bill also little overpriced limited vegetarian option
Antipodean Cafe,nice taste friendly staff come back soon
Antipodean Cafe,first service excellent friendly staff greeted door helped creative menu wall essentially made spoil choice standard food par price point used first service excellent friendly staff greeted door helped creative menu wall essentially made spoil choice standard food par price point used quality product premise clean outer area traffic area ambiance quickly nullified greenery outside would definitely go
Antipodean Cafe,sunday breakfast outside beside tree boni superb making whole experience perfect french toast berry compote alright fab generous berry compote hot latte perfect
Antipodean @ Atria,amazing food brunch breakfast pancake must try french toast especially one bacon savory choice go big breakfast day breakfast go wrong overall service good food awesome
Antipodean @ Atria,menu written wall hard read excellent service
Antipodean @ Atria,wait staff excellent good food good company come kiwi fried egg homemade baked bean bacon pumpkin soup egg benedict tasted good definitely come back
Antipodean @ Atria,good quality fare service exceptional especially rafat atrium friendly helpful quick provide request
Antipodean @ Atria,ordered bacon egg pie absolutely delicious service also good
Antipodean @ Atria,food ambience good love kid playing area give u time
Antipodean @ Atria,excellent food service come
Antipodean @ Atria,nice coffee nice cake serve zahanjir
Antipodean @ Atria,food coffee good serve zahangir fully star service come back
Antipodean @ Atria,good fast service able change pancake flavour child liking impressive
Antipodean @ Atria,food good service crew anik good
Antipodean @ Atria,nice ambiance staff friendly welcoming also thank best coffee town
Antipodean @ Atria,lousy service took min bring drink first last visit
Antipodean @ Atria,great service offered staff named sajed birthday celebration sajed friendly knowledgeable introducing great food dinner surely return future event thank
Antipodean @ Atria,coffee good cafe little dry liking
Antipodean @ Atria,nice location good food personally liked turmeric latte shirley team friendly accommodating proactive great experience
Antipodean @ Atria,food coffee really hit spot great place weekend brunch
Antipodean @ Atria,yummy pancake healthy selection price reasonable play area kid
Antipodean @ Atria,nice service good food thanks indra happy service
Antipodean @ Atria,service great sop awesome food bit overpriced worth like feed ant colony price
Antipodean @ Atria,service awful waiter inattentive rude gave lot attitude menu mess sitting away walk read scan qr code suggest qr code placed every table food pretty average price
Antipodean @ Atria,great breakfast child friendly place mini playground
Antipodean @ Atria,good service really nice pizza pasta come try
Antipodean @ Atria,cheese panini big letdown cheese sandwich supposed ooze gooey goodness cheese got haphazard bread put together grated cheese
Antipodean @ Atria,food coffee good usual always love food coffee jahanhir attentive person friendly waiter
Antipodean @ Atria,like place food less oily even price quiet expensive food great delicious coffee also great also like concept place make easy parent kid space kid play staff also friendly helpful kind highly recommended
Antipodean @ Atria,even drink also got social distancing safety ensured good job kudos md rafat
Antipodean @ Atria,first time quite impressed service playground area kid enjoy much
Antipodean @ Atria,recommended try english breakfast antipodean quite enjoy coffee good friendly staff menu confuse many item choose come visit
Antipodean @ Atria,brekkie darling
Antipodean @ Atria,great food service ask anik good experience
Antipodean @ Atria,food always never disappoint u ordering big written menu time consuming difficult read english elderly like reading big book menu
Antipodean @ Atria,good ambience coffee within central part mall good coffee although slightly pricier service attentive
Antipodean @ Atria,disastrous sunday morning kitchen cope many order food took close hour served
Antipodean @ Atria,food awesome
Antipodean @ Atria,good food good idea bring family kid got completed playground kid easy parent hang cup coffee food
Antipodean @ Atria,meenu served u well fine option food vegetarian also cozy place nice atmosphere
Antipodean @ Atria,coming antipodean time rd november charming lady served u best service long time staff got order wrong jenny served u straightened matter coming antipodean time rd november charming lady served u best service long time staff got order wrong jenny served u straightened matter quickly gave u extra bacon nice found later senior manager passion shone service staff learn able take criticism sought improve service antipodean best service antipodean stress definitely asset antipodean kudos great staff like kenneth leow
Antipodean @ Atria,good food reasonably priced english breakfast tea also refreshing staff friendly well recommend coming breakfast
Antipodean @ Atria,enjoyed food freshly served cake
Antipodean @ Atria,great service great food thumb
Antipodean @ Atria,nice breakfast love waiter anik helpful friendly serving u
Antipodean @ Atria,went breakfast one morning everything great big breakfast banana pancake super tasty tea coffee full flavour service quick waiter helpful efficient nice ambience kid play area portion big nice food slightly pricy
Antipodean @ Atria,nice juicy beef burger friend ordered smoked salmon chickpea roasted vege mine tasty meehhh staff friendy considerate portrayed act putting chair grandma family chooses food thumb staff
Antipodean @ Atria,good environment big breakfast egg benedict delicious yummy worth try
Antipodean @ Atria,lovely food great service always
Antipodean @ Atria,variety food coffee choice still place go atrium price higher side since inside mall expected good environment location really know add lemon coriander leaf water taste weird
Antipodean @ Atria,good serviceexcellent coffeegood ambience
Antipodean @ Atria,excellent coffee big food serving
Antipodean @ Atria,delicious food friendly staff service great ambience atrium antipodeon
Antipodean @ Atria,simran attentive friendly food good coffee even better
Antipodean @ Atria,nice food extensive menu good play place small child nice staff
Antipodean @ Atria,food good meenu great service would come back
Antipodean @ Atria,great food friendly staff
Antipodean @ Atria,friendly professional staff amazing food drink highly recommended
Antipodean @ Atria,nice food beverage good service
Antipodean @ Atria,affordable price kid friendly
Antipodean @ Atria,great service good food thank anik served u
Antipodean @ Atria,great little spot stop chat afternoon drink anik especially helpful tipping u pm coffee cake deal excellent particularly pavlova prepared direct u fresh cream strawberry
Antipodean @ Atria,food great especially marlborough salmon md rafat served u well even though busy
Antipodean @ Atria,fantastic service friendly waiter manager
Antipodean @ Atria,good n delicious food especially big breakfast set mushroom n coffee friendly staff n good ambience always come lunch tea time
Antipodean @ Atria,friendly staff n delicious food served
Antipodean @ Atria,nice food good service
Antipodean @ Atria,awesome big breakfast bacon egg pie strongly recommended
Antipodean @ Atria,food nice expectation food price taste level obviously different
Antipodean @ Atria,good food especially big breakfast big thumb anik friendly attitude
Antipodean @ Atria,nice environment antipodean atrium thing price bit high side service good
Antipodean @ Atria,star service ambience food average
Antipodean @ Atria,early morning almost full lot customer waiter waitress great service always food always great stuff kind kid space
Antipodean @ Atria,good food wonderful hospitality staff staff helpful attentive friendly like water coriander lime nice taste unique way serving coffee food definitely come back
Antipodean @ Atria,good service friendly waiter great food
Antipodean @ Atria,love service lemon sour cake superb
Antipodean @ Atria,food ambience service great best monday morning
Antipodean @ Atria,pizza great good portion pax sharing awesome service mr rafat look
Antipodean @ Atria,good food nice ambiance attentive service staff back soon
Antipodean @ Atria,nice service especially fr zahanjir nice place hang awesome food cozy ambience definitely come back
Antipodean @ Atria,nice environment cake coffee got rm tea set weekend worth
Antipodean @ Atria,great place early breakfeast pj nasi goreng portion generous tasty place kid friendly btw
Antipodean @ Atria,good food good ambience friendly staff special mention jingky helping kid feel comfortable
Antipodean @ Atria,good food nice ambience
Antipodean @ Atria,everything good hipe maintain service like next year perfect
Antipodean @ Atria,slightly disappointed told wait minute food minute told lamb burger one u order wait another experience marred slightly disappointed told wait minute food minute told lamb burger one u order wait another experience marred experience food bad wish portion slightly bigger seasoned well wish waiter slightly trained manager indra helpful solve issue meal concerned feedback believe take matter right hand come back thing improved better
Antipodean @ Atria,today st visit awesomes experience good healthy food less oil fish chip mocha excellent really appreciated staff served u rafat good customer service thank
Antipodean @ Atria,waiter friendly personally enjoy big breakfast expresso would highly recommend friend searching brunch place dine
Antipodean @ Atria,nice food good service environment
Antipodean @ Atria,good service food delicious
Antipodean @ Atria,food coffee great service also good back soon
Antipodean @ Atria,nice place sajed service perfect
Antipodean @ Atria,great ambience great service waiter guri
Antipodean @ Atria,mushroom spinash pasta creamy delicious come back good friendly service
Antipodean @ Atria,nice place packed friendly staff got complimentary valentine cake
Antipodean @ Atria,big breakfast n service superb environment perfect come
Antipodean @ Atria,great dining experience good food fantastic service rafat
Antipodean @ Atria,big breakfast awesome worth try
Antipodean @ Atria,gorgeous ambiance nice coffee cake met great waiter named anik highly recommended
Antipodean @ Atria,coffee service good thanks staff guri
Antipodean @ Atria,good service attitude friendly waiter
Antipodean @ Atria,big portion food nice nice ambience definitely come back
Antipodean @ Atria,st time visitig branch good service food delicious staff always alert attentive staff name anik lead table n serf thru polite n humble person
Antipodean @ Atria,wonderful food great service worth value
Antipodean @ Atria,good ambient acceptable food quality friendly professional staff meenu
Antipodean @ Atria,good food saturday family bonding place
Antipodean @ Atria,nice place water flowing side
Antipodean @ Atria,though super packed sunday food served within time mentioned staff polite nice though busy anik attended u prompt attentive thank good experience
Antipodean @ Atria,nice ambience like dining big lounge warm lighting occasional piano music great food love double beer battered fish chip real tartar sauce thin crust pizza spaghetti
Antipodean @ Atria,nice place want tasty food
Antipodean @ Atria,nice staff large portion good food
Antipodean @ Atria,great food consistent quality great friendly service staff
Antipodean @ Atria,great dinner desert suprise birthday man
Khan’s Indian Cuisine,good quality food served lunch crowd crazy best food sphere
Khan’s Indian Cuisine,food ok ok place improvement nice locality nd environmnt good staff fast service
Khan’s Indian Cuisine,good food nice ambiance
Khan’s Indian Cuisine,sedap big portion clean environment
Khan’s Indian Cuisine,tasty food good service lovely ambiance slightly overpriced
Khan’s Indian Cuisine,best indian restaurant kuala lumpur reasonable price
Khan’s Indian Cuisine,nice food
Khan’s Indian Cuisine,decent indian cuisine
Khan’s Indian Cuisine,translated google great nasi briyani curry original great nasi briyani curry
Khan’s Indian Cuisine,vast variety indian cuisine masala sauce top briyani make good combination
Khan’s Indian Cuisine,quality food good one way rate indian cuisine also aftermath heavy tired feel first cuisine still functional spice flavor perfect quality food good one way rate indian cuisine also aftermath heavy tired feel first cuisine still functional spice flavor perfect heavy greasy often problem encounter cuisine restaurant fairly new service quite standard yet waiter often forget something put wrong order one top one
Khan’s Indian Cuisine,nice food
Khan’s Indian Cuisine,great food great view lamb shank briyani must try palak paneer butter chicken good cheese naan fantastic masala tea must try also
Khan’s Indian Cuisine,nice taste north indian food
Khan’s Indian Cuisine,delicious food ambience
Khan’s Indian Cuisine,far one best authentic indian pakistani cuisine kl butter chicken awesome briyani tandoori chicken tikka nice good ambience friendly wait crew far one best authentic indian pakistani cuisine kl butter chicken awesome briyani tandoori chicken tikka nice good ambience friendly wait crew definitely come
Khan’s Indian Cuisine,excellent south indian north indian cuisine affordable price tried vegetarian thaali much better thaali mumbai complimentary drink also refreshing hoping find recipe
Khan’s Indian Cuisine,bad customer service please respect customer improve
Khan’s Indian Cuisine,hi whoever see review rly enjoyed meal khan service wonderful always stop ask u abt food also make sure eat well
Khan’s Indian Cuisine,regular customer nowadays quality food dropped
Khan’s Indian Cuisine,best indian food long time
Khan’s Indian Cuisine,butter chicken really good everything else good average expensive side fine dining
Khan’s Indian Cuisine,awesome food great ambience perfect family gathering keep good service quality
Khan’s Indian Cuisine,best indian non veg good kuala lumpur amongst indian restaurant need add liquor menue
Khan’s Indian Cuisine,used regular customer restaurant gone seriously downhill ordered whole tandoori chicken mostly bone contained chicken breast piece despite claiming whole chicken used regular customer restaurant gone seriously downhill ordered whole tandoori chicken mostly bone contained chicken breast piece despite claiming whole chicken mentioned waiter went speak assume manager manager incredibly rude defensive shouting talking u despite customer around explained past like even offered still pay huffed took food away saying charge u half chicken came back telling u resell piece sliced see bone like piece absolutely outrageous middle pandemic would even consider reselling food served customer showed total disregard food hygiene surprise customer found cockroach food certainly returning
Khan’s Indian Cuisine,best biriyani town love chicken biriyani rice perfectly cooked chicken perfectly marinated flavour melt mouth
Khan’s Indian Cuisine,food ambience ok manager supervisor indian chap loud shame managed well place wont last long price worth
Khan’s Indian Cuisine,translated google one best indian restaurant ever tried lot moo recommend everyone translated google one best indian restaurant ever tried lot moo recommend everyone original
Khan’s Indian Cuisine,less spicy bit high cost food
Khan’s Indian Cuisine,crowded waiter much use advising order happily let order least portion good though unfortunately found curly foreign object embedded chicken tikka crowded waiter much use advising order happily let order least portion good though unfortunately found curly foreign object embedded chicken tikka management ignored brushed aside literally told waiter watermelon juice wanted cancel case simply changed glass said keyed th key food bill overall food taste good price reasonable hope kitchen guy know food hygiene cashier need learn cancel order
Khan’s Indian Cuisine,good generous serving
Khan’s Indian Cuisine,nice tasty food environment also nice
Khan’s Indian Cuisine,dinner session colleague good service attentive staff food okay better flavor spiciness
Khan’s Indian Cuisine,first time trying restaurant food ordered soooooo nice would really recommend restaurant
Khan’s Indian Cuisine,food quite good ambiance many choice kid item going charge higher must better food quite good ambiance many choice kid item going charge higher must better restaurant big popular khan need customisable menu customer eat preference staff well behaved friendly understand waiter called sandeep refused bring sprite table wife requested
Khan’s Indian Cuisine,food portion huge well worth price would come
Khan’s Indian Cuisine,nice indian taste
Khan’s Indian Cuisine,received many recommendation place finally decided try great north indian cuisine offered
Khan’s Indian Cuisine,great restaurant
Khan’s Indian Cuisine,great place bit expensive
Khan’s Indian Cuisine,call food indian cuisine disgrace food judged appearance surely look delicious soon met disappointment take bite order butter naan chicken tikka sheekh kebab butter chicken call food indian cuisine disgrace food judged appearance surely look delicious soon met disappointment take bite order butter naan chicken tikka sheekh kebab butter chicken gravy lamb biryani thing say good sheekh kebab butter naan butter chicken tasted literally like tomato puree chicken tikka strong enough spice masala biryani mild taste lamb chewy tender indian food lastly price ridiculous amount charged food average extremely high service charge went foreigner friend even like food indian horrible indian food indian call indian food
Khan’s Indian Cuisine,dum briyani superb hefty myr myr tiger prawn briyani die spice used overpower rather compliment ingredient surely taste worth price average eater portion shared people
Khan’s Indian Cuisine,cleanest ever tandoori place lol good environment
Khan’s Indian Cuisine,good humble staff great environment
Khan’s Indian Cuisine,strongly recommend fish head curry gravy superb even tapau home get nan bread dip breakfast dinner taste good wan na slap mother law price reasonable rm small head enough two person
Khan’s Indian Cuisine,food good really little expensive
Khan’s Indian Cuisine,love butter chicken naan definitely coming back
Khan’s Indian Cuisine,love paneer tikka good ambience good office lunch nice place
Khan’s Indian Cuisine,great food awesome service affordable price
Khan’s Indian Cuisine,truly north indian authentic food spacious good family friend corporate get together
Khan’s Indian Cuisine,beriani order one enough share person light eater
Khan’s Indian Cuisine,nice place enjoy indian cuisine lamb kababs chicken tandoori good price higher side food quality ambience cleanliness really good come smaller group large nice place enjoy indian cuisine lamb kababs chicken tandoori good price higher side food quality ambience cleanliness really good come smaller group large seating area seating area inside restaurant well table outside well ventilated cooler installed order take away dine order online per convenience
Khan’s Indian Cuisine,eat crave food price bit expensive definitely worth price love lamb biryani well definitely come back
Khan’s Indian Cuisine,tikka boti combo biryani tikka boti combo fabulous biryani biryani coming karachi high expectation biryani upto mark
Khan’s Indian Cuisine,food price expensive need pay service tax sst tax many many thing
Khan’s Indian Cuisine,good food ambiance good service well keep
Khan’s Indian Cuisine,indian tend little critical restaurant selling indian food abroad reason giving establishment star ambience location earn top score food leaf indian tend little critical restaurant selling indian food abroad reason giving establishment star ambience location earn top score food leaf lot desired especially compared indian restaurant kuala lumpur bread good curry desired masalas tend westernised taste biryani also ok nearby want indian food something close please make visit definitely worth travel
Khan’s Indian Cuisine,really good indian cuisine find spicy less spicy indian flavour
Khan’s Indian Cuisine,friendly staff great ambience
Khan’s Indian Cuisine,food good really bad attitude waiter order getting delayed called waiter check guy spoke u aggressively said friday take time really give piece food good really bad attitude waiter order getting delayed called waiter check guy spoke u aggressively said friday take time really give piece mind almost min finally food arrived time made loose temper attitude welcoming including manager
Khan’s Indian Cuisine,nice buffet spread
Khan’s Indian Cuisine,great food
Khan’s Indian Cuisine,wonderful excellent service
Khan’s Indian Cuisine,velly good service belly good food
Khan’s Indian Cuisine,great food extremely slow service miss order
Khan’s Indian Cuisine,nice staff good naan rest impressed chicken tandoori tasted bit burnt cold chocolate tasting like coffee daughter drink
Khan’s Indian Cuisine,good service good food
Khan’s Indian Cuisine,nice blend food different part india
Khan’s Indian Cuisine,bit overpriced taste food could real
Khan’s Indian Cuisine,luv food superb surounding
Khan’s Indian Cuisine,amazing northern indian cuisine superb service worth visit
Khan’s Indian Cuisine,nice ambience perfect dish best indian food town recommended
Khan’s Indian Cuisine,food great prawn malabar naan garlic aloo ghobi masala tea tasted really good service efficient server greeted table time verynice ambiance
Khan’s Indian Cuisine,excellent food exceptional service
Khan’s Indian Cuisine,drink list good
