Author,Review,Rating,Restaurant,Location
Vwu0719,It’s a nice place to meet friends.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Jagdesh Singh,Food wasn't exceptionally good but still good enough for me and the whole family of 8 to enjoy our brunch. Lots of beautiful people. The prices can be steep if compared to the nearby posh mamak for the same amount of food. But the service was excellent. Very professional waiters ever ready to answer every question and request you have.,"Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Zen hao Mummy,Good service and food. ..waiter attitude is very nice. ..I with friend stay 5 hours. ..enjoy it,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Phoebe Lee,"Cozy place, all day breakfast. Friendly owner who go around and talk with you. They have their menu on wall, from American breakfast to pancakes, waffles, salads, soup and etc at a very very reasonable price given that it's located in …MoreCozy place, all day breakfast. Friendly owner who go around and talk with you. They have their menu on wall, from American breakfast to pancakes, waffles, salads, soup and etc at a very very reasonable price given that it's located in bangsar. Good place and you to chill, hangout and gossip. Cons : small space, crowded often, queue for long time.","Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Rei Teo,"Came all the way down from Singapore and enjoyed their foods, came in huge portions and their service and hospitality are amazing! Thanks for the attentiveness and service!","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Andre Keane,The food was delicious and the service was really good! Definitely coming back!,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Yosuke,"Comfortable space, staff are well trained, Service is excellent. They have a lot of choices for breakfast, lunch and coffee. Food and coffee taste really nice. I've tried their bagel but bagel was hard and not nice. They have small playing space for kids.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Cheong Jia Lee,"The food was eggcellent, and the service provided by was just superb! This place is really suitable for gatherings, cozy environment, good food and top services! Will definitely come back again!","Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Kai Secrist,We went to the Bangsar branch for lunch. Wonderful food and excellent service! I would highly recommend it!!,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Dr. Belinda Marie Balraj,I was planning on visiting another restaurant but since it was packed I came here. Loved the ambience and hospitality. I had the sweet paprika chicken with chickpeas. Chicken portion was rather small but nevertheless taste was topnotch,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Katherine Tan,Very good service 😊The banana bacon French toast is delicious 🤩,"Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Fazrul Nazrin Masrol,Good food and great service. All the staff were very kind and accommodating,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Chris C.H,"For about 31 MYR I opted for a big breakfast that includes a chicken sausage or bacon scrambled eggs, hash brown, a handful of sauteed mushrooms, a bit of lettuce on the side topped with balsamic vinegar with gluten free bread since I'm intolerant.  Busy on weekends and can get pretty smokey inside! Great Western brekkie option.","Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
emiko choo,Good service and the staff is friendly. The food is delicious !,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Mila A,Service was really good and the food was amazing!,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
j' y,"Haven't been back in a long time. This time I'm more impressed by the quality food it's able to churn out during peak times. Coffee was on point , big breakfast came out alright albeit I think the scrambled egg could do with more salt.(can …MoreHaven't been back in a long time. This time I'm more impressed by the quality food it's able to churn out during peak times. Coffee was on point , big breakfast came out alright albeit I think the scrambled egg could do with more salt.(can argue u can add it later). The staff was whizzing around like clockwork with the discipline of Japanese mentality.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Rachelicious 93,Loved the service and ambience of this place~ nice hearty breakfast in the morning at a quiet mallRecommended to come !,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
J Wen,"Food tastes great, however services need improvement","Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Miyako Takajo,"First of all, the service is excellent. Many servers welcomed us on my way in and lead me very quickly to our table. The menu had a lot of variety but that did not detract from the quality. I had ordered the big breakfast and it was …MoreFirst of all, the service is excellent. Many servers welcomed us on my way in and lead me very quickly to our table. The menu had a lot of variety but that did not detract from the quality. I had ordered the big breakfast and it was delivered very quickly to my table. The first thing I tried were the mushrooms which were plump, juicy and bursting with flavour. They claimed the hashbrown was homemade and the quality confirmed that with a slight hint of acidity not found in frozen hashbrowns. Their scrambled eggs were exactly what you would expect; you could practically slurp them like noodles. The salad which paired very well with the hashbrown lacked the acidity which would have made the dish somewhat unpleasant. The bacon was lovely, not too salty and a wonderful texture that was not too chewy nor crispy and the fat was kept to a minimum. Finally, the artisan bread was a highlight, being just the right texture and a subtle flavour to finish off on. I highly recommend this place to anyone driving through Bangsar in search of a good plave to eat.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
WengYue Loke,"Enjoyed the scrambled eggs and salmon toast. The bread was great! Good service. Except the fact that they were sweeping the floor whilst customers were still eating. Nonetheless, quality food.","Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Sharon Teo,The best Antipodean branch in KL. Food is cooked well here. So good that it's so packed every weekend! =(,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Pramjit Singh,Rahmat and his team was great and accommodating. Wonderful brunch. Definitely will come again.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
How Chong Low,Child friendly and good food. Good for young families,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Chow Lan,Nice place to chill & their coffee is very nice. You guys should come here xoxo,"Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
미미TV MEEMEE,The service was topnotch. We ordered waffle as our dessert and it was super soft and delicious. Will definitely come back next time!,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Dinesh D'sord,Service is not bad and so is the food but mind you they use some long trays to serve their dishes which is a little dumb as during lunch we witnessed two accidents due to their long trays. So that needs to be worked on. Don't think it's a very smart Unic selling point.,"Rated 3.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Tanuja Rajalingam,Enjoyed the food and the ambience...,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Sharimilah Prakash,Had a good experience dining here and the waiter Atique was very helpful in helping us picking the right menu,"Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Joan Poh,"Excellent food, drinks, service and ambience. Great hospitality from John. Must visit!","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
justin johan,The services was tip top. Will definitely visit again.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Rob & Steph,"Stopped in for something to drink.  Had not tried the food.  Average flavours for the drinks, especially for the coffee.  Chocolate chip cookie was a bit too ""dry"" and crumbly.  Friendly staff.  Average prices.","Rated 2.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Josiah Michael,Very fast and efficient service. Friendly staff. Good food. 100% recommended!,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Joceline Kow,Just love the coffee and staff friendliness. They make such a good soymilk flat white no where else bothers to offer. Taste is consistently superb in every cuppa. I think it been more than 20 trips for me past 3 mths. ;) …MoreJust love the coffee and staff friendliness. They make such a good soymilk flat white no where else bothers to offer. Taste is consistently superb in every cuppa. I think it been more than 20 trips for me past 3 mths. ;)Just hope you will offer gluten free & dairy free cake slices soon.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Indiran IR,Staffs aint tat great as it used to be.. service is lousy.. so rigid in the menu n no flexibility to change anything of the chosen meal - customized dishes.. will definitely not recommend this place as i used to be a regular n this is so frustrating...,"Rated 1.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Clarisse Nable,"Wanted to try brunch here cos it seems so popular, and we finally did last weekend. Had the Thai beef salad and the Istanbul pizza. Food is just okay. Ambiance is also not great. A lot of noise coming from the kitchen. …MoreWanted to try brunch here cos it seems so popular, and we finally did last weekend. Had the Thai beef salad and the Istanbul pizza. Food is just okay. Ambiance is also not great. A lot of noise coming from the kitchen.But really appreciate how the manager treats his staff even during busy hours. Also kudos to one of the servers who kept sanitizing his hands before and after every task.","Rated 3.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Jerome “ForestCityZH” Kessler,"The food is sooo good! And their service is also really nice. Big range of dishes, lots of different coffees and juices. And the best thing is they serve breakfast the whole day :)","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Dineswariy Raman,"Ramak deserves all the excellent stars for his energetic service❤️ He is all rounder. Food is excellent, love the environment. Got a delicious free orange sponge cake for my birthday today. Overall superb service. Worth the value 😘","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Dean Chong,Very good service and ambience! Staffs were courteous and helpful with our requests! Food is fantastic too. Highly recommended.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
mg,This restaurant is so delicious!We can eat any types of food and drink!And service is very kind! We want to come here again!😊,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
ABDULLA KUNNATH,Best breakfast i ever had..,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Yee Ong,"Service is good, very friendly. Love the coffee so much~","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Canvoon,Super great experience when dine in. Great welcome super friendly staff with great food. Highly recommended.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
BB Hoong,"Very good service , lady manager is pretty sweet and friendly, they  have variety of breakfast, I like it !!!","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
June,Thanks to Elias for his attentiveness. We are grateful for him to serve us in this evening.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Kelvin Tan,"Best breakfast in town. Usually I go their mid valley branch, the taste same with bangsar branch. Love their big breakfast and coffee","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Tang Chung Wai,Pancake with Butterscotch is really good,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Priyanut Manirath,It is always my favorite place for breakfast.. the foods are great.. fresh.. and tasty.. the staff are very attentive.. friendly and helpful.. a cozy place with a sumptuous all day breakfast and a cup of aromatic coffee.. and yes with a great book while having them.. 💙,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Muhammad Hakeem,"I ordered lamb burger and the waiter, Mr. Sagor, asked me if I am full due to the small portion of the burger. When I said I wasn’t that full, he was willing to give me complimentary toast or anything I wanted. Beside that, he was very …MoreI ordered lamb burger and the waiter, Mr. Sagor, asked me if I am full due to the small portion of the burger. When I said I wasn’t that full, he was willing to give me complimentary toast or anything I wanted. Beside that, he was very attentive and hardworking.I have never stumbled across such an outstanding service by Sagor. I hope the employer would reward him for his customer service. A staff like this is like a diamond.","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Michael Lim,"Very nice experience, staff very very friendly. Food is nice too! RECOMMENDED 👍👍","Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Dang Mingzhu,great service and yummy food with a ambiance . the price is affordable . the environment is very clean and bright.,"Rated 4.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Low Stven,Nice food and good service !,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Annette Wilson,Service was good. Food was prompt. Staff were friendly and willing to explain the menu.Food was good and so was the ambience.,"Rated 5.0 out of 5,",Antipodean Cafe,"20, Jalan Telawi 2, Bangsar, Kuala Lumpur, Federal Territory of Kuala Lumpur"
